Date,Price,Open,High,Low,Vol.,Change %
04/12/2024,85.66,85.6,87.67,85.24,,0.0075
04/11/2024,85.02,86.32,86.63,84.84,388.13K,-1.38%
04/10/2024,86.21,85.34,86.38,84.55,373.94K,0.0115
04/09/2024,85.23,86.59,86.98,85.09,314.99K,-1.39%
04/08/2024,86.43,86.1,87.1,84.69,393.73K,-0.55%
04/05/2024,86.91,86.86,87.63,86.32,353.21K,0.0037
04/04/2024,86.59,85.66,87.22,84.64,359.53K,0.0136
04/03/2024,85.43,85.46,86.2,84.85,322.55K,0.0033
04/02/2024,85.15,84.04,85.5,83.85,344.04K,0.0172
04/01/2024,83.71,83.14,84.49,82.6,321.06K,0.65%
03/28/2024,83.17,81.71,83.21,81.52,293.77K,0.0224
03/27/2024,81.35,81.29,81.74,80.55,249.96K,-0.33%
03/26/2024,81.62,81.94,82.36,81.22,235.85K,-0.40%
03/25/2024,81.95,80.85,82.48,80.59,300.36K,0.0164
03/22/2024,80.63,80.84,81.45,80.42,231.10K,-0.54%
03/21/2024,81.07,81.49,81.92,80.3,266.86K,-0.75%
03/20/2024,81.68,83.2,83.21,81.44,26.04K,-2.14%
03/19/2024,83.47,82.85,83.85,82.39,76.81K,0.0091
03/18/2024,82.72,81.03,83.09,81.01,84.72K,0.0207
03/15/2024,81.04,81.14,81.45,80.49,185.08K,-0.27%
03/14/2024,81.26,79.63,81.62,79.57,297.45K,0.0193
03/13/2024,79.72,78.06,79.9,77.57,316.39K,0.0278
03/12/2024,77.56,78.09,78.73,77.34,309.92K,-0.47%
03/11/2024,77.93,77.8,78.47,76.79,329.87K,-0.10%
03/08/2024,78.01,79.51,79.99,77.56,347.53K,-1.17%
03/07/2024,78.93,79.13,79.53,78.02,432.92K,-0.25%
03/06/2024,79.13,78.15,80.67,77.99,371.05K,0.0125
03/05/2024,78.15,78.74,79.49,77.52,436.52K,-0.75%
03/04/2024,78.74,80.14,80.41,78.56,347.21K,-1.54%
03/01/2024,79.97,78.28,80.85,78.05,363.42K,2.19%
02/29/2024,78.26,78.2,79.28,77.94,317.94K,-0.36%
02/28/2024,78.54,78.48,79.62,77.78,330.04K,-0.42%
02/27/2024,78.87,77.62,79,77.17,269.24K,0.0166
02/26/2024,77.58,76.4,78.03,75.84,274.71K,0.0143
02/23/2024,76.49,78.37,78.39,76.35,353.44K,-2.70%
02/22/2024,78.61,78.09,78.92,77.23,330.51K,0.009
02/21/2024,77.91,77.15,78.08,76.32,323.24K,-0.35%
02/20/2024,78.18,78.98,79.8,77.67,34.87K,0.09%
02/19/2024,78.11,78.16,78.56,77.64,,-1.36%
02/16/2024,79.19,78.11,79.35,77.22,113.71K,0.0149
02/15/2024,78.03,76.6,78.44,75.78,122.43K,0.0181
02/14/2024,76.64,77.81,78.77,76.38,296.13K,-1.58%
02/13/2024,77.87,77.03,78.47,76.87,338.17K,0.0124
02/12/2024,76.92,76.6,77.09,75.54,248.48K,0.10%
02/09/2024,76.84,76.42,77.29,75.93,302.61K,0.0081
02/08/2024,76.22,74.08,76.59,73.56,377.91K,0.032
02/07/2024,73.86,73.5,74.22,73.23,294.96K,0.0075
