DATE,DGS30
2021-01-04,1.66
2021-01-05,1.7
2021-01-06,1.81
2021-01-07,1.85
2021-01-08,1.87
2021-01-11,1.88
2021-01-12,1.88
2021-01-13,1.82
2021-01-14,1.88
2021-01-15,1.85
2021-01-18,.
2021-01-19,1.84
2021-01-20,1.84
2021-01-21,1.87
2021-01-22,1.85
2021-01-25,1.8
2021-01-26,1.8
2021-01-27,1.79
2021-01-28,1.81
2021-01-29,1.87
2021-02-01,1.84
2021-02-02,1.87
2021-02-03,1.92
2021-02-04,1.93
2021-02-05,1.97
2021-02-08,1.96
2021-02-09,1.95
2021-02-10,1.92
2021-02-11,1.94
2021-02-12,2.01
2021-02-15,.
2021-02-16,2.08
2021-02-17,2.06
2021-02-18,2.08
2021-02-19,2.14
2021-02-22,2.19
2021-02-23,2.21
2021-02-24,2.24
2021-02-25,2.33
2021-02-26,2.17
2021-03-01,2.23
2021-03-02,2.21
2021-03-03,2.25
2021-03-04,2.3
2021-03-05,2.28
2021-03-08,2.31
2021-03-09,2.26
2021-03-10,2.24
2021-03-11,2.29
2021-03-12,2.4
2021-03-15,2.37
2021-03-16,2.38
2021-03-17,2.42
2021-03-18,2.45
2021-03-19,2.45
2021-03-22,2.38
2021-03-23,2.34
2021-03-24,2.31
2021-03-25,2.34
2021-03-26,2.37
2021-03-29,2.43
2021-03-30,2.38
2021-03-31,2.41
2021-04-01,2.34
2021-04-02,2.35
2021-04-05,2.36
2021-04-06,2.32
2021-04-07,2.35
2021-04-08,2.32
2021-04-09,2.34
2021-04-12,2.34
2021-04-13,2.32
2021-04-14,2.32
2021-04-15,2.23
2021-04-16,2.26
2021-04-19,2.29
2021-04-20,2.27
2021-04-21,2.26
2021-04-22,2.24
2021-04-23,2.25
2021-04-26,2.24
2021-04-27,2.29
2021-04-28,2.29
2021-04-29,2.31
2021-04-30,2.3
2021-05-03,2.3
2021-05-04,2.27
2021-05-05,2.25
2021-05-06,2.24
2021-05-07,2.28
2021-05-10,2.32
2021-05-11,2.35
2021-05-12,2.4
2021-05-13,2.39
2021-05-14,2.35
2021-05-17,2.36
2021-05-18,2.37
2021-05-19,2.38
2021-05-20,2.34
2021-05-21,2.33
2021-05-24,2.31
2021-05-25,2.26
2021-05-26,2.27
2021-05-27,2.29
2021-05-28,2.26
2021-05-31,.
2021-06-01,2.3
2021-06-02,2.28
2021-06-03,2.3
2021-06-04,2.24
2021-06-07,2.25
2021-06-08,2.21
2021-06-09,2.17
2021-06-10,2.15
2021-06-11,2.15
2021-06-14,2.19
2021-06-15,2.2
2021-06-16,2.2
2021-06-17,2.11
2021-06-18,2.01
2021-06-21,2.11
2021-06-22,2.1
2021-06-23,2.11
2021-06-24,2.1
2021-06-25,2.16
2021-06-28,2.1
2021-06-29,2.1
2021-06-30,2.06
2021-07-01,2.07
2021-07-02,2.05
2021-07-05,.
2021-07-06,2
2021-07-07,1.94
2021-07-08,1.91
2021-07-09,1.99
2021-07-12,2
2021-07-13,2.04
2021-07-14,1.98
2021-07-15,1.92
2021-07-16,1.93
2021-07-19,1.81
2021-07-20,1.88
2021-07-21,1.94
2021-07-22,1.9
2021-07-23,1.92
2021-07-26,1.93
2021-07-27,1.89
2021-07-28,1.9
2021-07-29,1.91
2021-07-30,1.89
2021-08-02,1.86
2021-08-03,1.85
2021-08-04,1.83
2021-08-05,1.86
2021-08-06,1.94
2021-08-09,1.96
2021-08-10,1.99
2021-08-11,1.99
2021-08-12,2.03
2021-08-13,1.94
2021-08-16,1.92
2021-08-17,1.92
2021-08-18,1.91
2021-08-19,1.88
2021-08-20,1.87
2021-08-23,1.87
2021-08-24,1.91
2021-08-25,1.96
2021-08-26,1.94
2021-08-27,1.91
2021-08-30,1.9
2021-08-31,1.92
2021-09-01,1.92
2021-09-02,1.9
2021-09-03,1.94
2021-09-06,.
2021-09-07,1.99
2021-09-08,1.95
2021-09-09,1.9
2021-09-10,1.94
2021-09-13,1.91
2021-09-14,1.85
2021-09-15,1.87
2021-09-16,1.88
2021-09-17,1.91
2021-09-20,1.85
2021-09-21,1.86
2021-09-22,1.84
2021-09-23,1.92
2021-09-24,1.99
