DATE,Open,High,Low,Close
2024-04-12,38319.14,38319.14,37877.3,37983.24
2024-04-11,38523.26,38598.98,38197.28,38459.08
2024-04-10,38662.28,38662.28,38304.66,38461.51
2024-04-09,38983.66,38992.89,38572.09,38883.67
2024-04-08,38916.42,39013.2,38857.7,38892.8
2024-04-05,38664.98,39040.17,38602.18,38904.04
2024-04-04,39343.6,39421.35,38559.42,38596.98
2024-04-03,39139.59,39305.76,39017.13,39127.14
2024-04-02,39256.27,39256.27,39051.7,39170.24
2024-04-01,39807.93,39815,39491.22,39566.85
2024-03-28,39763.74,39868.59,39717.25,39807.37
2024-03-27,39461.98,39769.41,39461.98,39760.08
2024-03-26,39338.32,39439.44,39277.19,39282.33
2024-03-25,39410.54,39430.17,39296.03,39313.64
2024-03-22,39774.06,39824.76,39469.53,39475.9
2024-03-21,39661.03,39889.05,39589.23,39781.37
2024-03-20,39072.05,39529.13,38988.65,39512.13
2024-03-19,38819.61,39122.71,38761.28,39110.76
2024-03-18,38826.93,38898.41,38760.79,38790.43
2024-03-15,38809.65,38928.13,38618.2,38714.77
2024-03-14,39122.39,39160.25,38704.36,38905.66
2024-03-13,39054.58,39201.94,38937.92,39043.32
2024-03-12,38883.32,39071.56,38711.39,39005.49
2024-03-11,38667.21,38794.76,38483.25,38769.66
2024-03-08,38776.8,38971.15,38705.03,38722.69
2024-03-07,38784.3,38910.35,38730.13,38791.35
2024-03-06,38721.15,38858.13,38570.8,38661.05
2024-03-05,38906.98,38906.98,38457.83,38585.19
2024-03-04,38968.77,39087.86,38913.3,38989.83
2024-03-01,38989.51,39120.36,38850.5,39087.38
2024-02-29,39013.75,39074.13,38809.28,38996.39
2024-02-28,38938.08,38956.46,38741.68,38949.02
2024-02-27,39087.9,39087.9,38881.9,38972.41
2024-02-26,39144.79,39245.89,39025.8,39069.23
2024-02-23,39127.97,39282.28,39094.36,39131.53
2024-02-22,38845.19,39149.61,38802.07,39069.11
2024-02-21,38483.66,38618.03,38338.58,38612.24
2024-02-20,38576.26,38663.09,38460.2,38563.8
2024-02-16,38751.71,38825.03,38583.24,38627.99
2024-02-15,38397.94,38781.89,38397.94,38773.12
2024-02-14,38372.67,38442.56,38194.62,38424.27
2024-02-13,38699.17,38699.17,38039.86,38272.75
2024-02-12,38656.76,38927.08,38628.92,38797.38
2024-02-09,38731.97,38734.28,38567.9,38671.69
2024-02-08,38702.11,38755.68,38544.36,38726.33
2024-02-07,38613.89,38748.11,38571.01,38677.36
2024-02-06,38392.9,38545.28,38350.46,38521.36
2024-02-05,38546.77,38633.88,38220.4,38380.12
2024-02-02,38448.1,38783.62,38336.57,38654.42
2024-02-01,38175.34,38522.5,38106.84,38519.84
2024-01-31,38426.78,38588.86,38139.66,38150.3
2024-01-30,38298.23,38497.39,38257.8,38467.31
2024-01-29,38115.83,38343.93,38061.17,38333.45
2024-01-26,38006.68,38215.31,37997.77,38109.43
2024-01-25,37862.57,38057.53,37796.47,38049.13
2024-01-24,37975.37,38064.22,37795.71,37806.39
2024-01-23,37959.79,37980.73,37804.99,37905.45
2024-01-22,37919.55,38109.2,37911.61,38001.81
2024-01-19,37572.5,37933.73,37451.71,37863.8
2024-01-18,37300.81,37522.29,37122.95,37468.61
2024-01-17,37281.86,37371.66,37132.89,37266.67
2024-01-16,37493.54,37543.18,37201.39,37361.12
2024-01-12,37818.05,37825.27,37470.19,37592.98
2024-01-11,37747.14,37801.9,37424.28,37711.02
2024-01-10,37552.91,37740.77,37524.4,37695.73
2024-01-09,37523.55,37552.38,37373.3,37525.16
2024-01-08,37327.37,37692.92,37249.24,37683.01
2024-01-05,37455.46,37623.62,37323.82,37466.11
2024-01-04,37425.28,37716.41,37425.28,37440.34
2024-01-03,37629.23,37629.23,37401.85,37430.19
2024-01-02,37566.22,37790.08,37495.91,37715.04
2023-12-29,37701.63,37759.43,37538.8,37689.54
2023-12-28,37661.52,37778.85,37650.98,37710.1
2023-12-27,37518.62,37683.7,37488.6,37656.52
2023-12-26,37405.9,37617.99,37371.83,37545.33
2023-12-22,37349.27,37534.52,37268.88,37385.97
2023-12-21,37225.32,37418.76,37127.05,37404.35
2023-12-20,37520.13,37641.3,37073.04,37082
2023-12-19,37311.82,37562.83,37311.82,37557.92
2023-12-18,37330.14,37393.45,37284.85,37306.02
2023-12-15,37194.5,37347.6,37092.02,37305.16
2023-12-14,37115.63,37287.5,37051.52,37248.35
2023-12-13,36601.8,37094.85,36523.59,37090.24
2023-12-12,36442.1,36596.11,36373.22,36577.94
2023-12-11,36254.33,36416.18,36231.19,36404.93
2023-12-08,36084.82,36296.2,36061.64,36247.87
2023-12-07,36124.17,36164.17,36021.95,36117.38
2023-12-06,36183.73,36292.58,36024.25,36054.43
2023-12-05,36135.65,36164.68,36010.85,36124.56
2023-12-04,36089.38,36238.18,36029.69,36204.44
2023-12-01,35914.45,36264.85,35914.45,36245.5
2023-11-30,35596.57,35970.7,35592.22,35950.89
2023-11-29,35436.8,35579.13,35405.89,35430.42
2023-11-28,35332.13,35518.67,35307.73,35416.98
2023-11-27,35376.44,35410.37,35280.57,35333.47
2023-11-24,35299.9,35399.44,35299.9,35390.15
2023-11-22,35189.33,35315.2,35155.8,35273.03
2023-11-21,35104.84,35118.04,35038.44,35088.29
2023-11-20,34932.49,35227.48,34907.98,35151.04
2023-11-17,34964.82,35028.22,34882.82,34947.28
2023-11-16,34868.03,35022.46,34818.03,34945.47
2023-11-15,34906.72,35051.1,34868.48,34991.21
2023-11-14,34581.2,34931.01,34581.2,34827.7
2023-11-13,34259.25,34405.84,34205.81,34337.87
2023-11-10,34020.82,34310.36,33905.62,34283.1
2023-11-09,34163.71,34167.54,33859.77,33891.94
2023-11-08,34185.92,34252.75,33996.2,34112.27
2023-11-07,34075.65,34206.98,34026.72,34152.6
2023-11-06,34092.61,34167.26,33989.72,34095.86
2023-11-03,33988.83,34163.63,33946.6,34061.32
2023-11-02,33457.82,33852.96,33450.03,33839.08
2023-11-01,33081.87,33337.15,33010.85,33274.58
2023-10-31,33029.11,33070.28,32787.12,33052.87
2023-10-30,32537.54,33002.97,32537.54,32928.96
2023-10-27,32782.4,32787.56,32327.2,32417.59
2023-10-26,33017.17,33105.03,32743.99,32784.3
2023-10-25,33203.53,33267.91,32989.72,33035.93
2023-10-24,33089.64,33272.19,32988.43,33141.38
2023-10-23,32993.02,33234.85,32892.19,32936.41
2023-10-20,33365.27,33425.77,33118.12,33127.28
2023-10-19,33669.52,33852.39,33368.58,33414.17
2023-10-18,33960.25,33991.51,33598.64,33665.08
2023-10-17,33869.84,34147.63,33854.7,33997.65
2023-10-16,33832.42,34088.98,33832.42,33984.54
2023-10-13,33733.34,33957.72,33551.58,33670.29
2023-10-12,33845.65,33863.8,33455.6,33631.14
2023-10-11,33822.2,33882.55,33612.25,33804.87
2023-10-10,33683.41,33898.22,33604.32,33739.3
2023-10-09,33259.84,33631.81,33253.69,33604.65
2023-10-06,33040.7,33557.69,32846.94,33407.58
2023-10-05,33099.23,33174.38,32941.56,33119.57
2023-10-04,33034.18,33156.45,32873.23,33129.55
2023-10-03,33318.84,33398.54,32916.2,33002.38
2023-10-02,33455.5,33511.91,33219.56,33433.35
2023-09-29,33882.61,33893.68,33407.45,33507.5
2023-09-28,33519.44,33777.9,33473.5,33666.34
2023-09-27,33682.81,33731.65,33306.3,33550.27
2023-09-26,33862.68,33879.93,33569.6,33618.88
2023-09-25,33907.59,34017.53,33780.67,34006.88
2023-09-22,34077.08,34156.15,33947.24,33963.84
2023-09-21,34332.23,34378.3,34058.72,34070.42
2023-09-20,34575.5,34776.28,34434.29,34440.88
2023-09-19,34571.84,34597.56,34311.69,34517.73
2023-09-18,34612.29,34725.06,34545.35,34624.3
2023-09-15,34902.04,34902.04,34572.27,34618.24
