Date,Open,High,Low,Close
01/19/2024,"2,060.40","2,060.40","2,004.60","2,029.30"
01/12/2024,"2,052.60","2,067.30","2,017.30","2,051.60"
01/05/2024,"2,072.70","2,088.10","2,030.80","2,049.80"
12/29/2023,"2,066.00","2,098.20","2,065.10","2,071.80"
12/22/2023,"2,033.30","2,083.00","2,029.50","2,069.10"
12/15/2023,"2,020.00","2,062.90","1,987.90","2,035.70"
12/08/2023,"2,094.40","2,152.30","2,010.60","2,014.50"
12/01/2023,"2,002.50","2,095.70","2,001.40","2,089.70"
11/24/2023,"1,980.90","2,009.80","1,967.20","2,003.00"
11/17/2023,"1,943.40","1,996.40","1,935.60","1,984.70"
11/10/2023,"1,999.40","2,000.10","1,936.90","1,937.70"
11/03/2023,"2,013.50","2,017.70","1,978.20","1,999.20"
10/27/2023,"1,987.70","2,019.70","1,964.60","1,998.50"
10/20/2023,"1,941.30","2,009.20","1,921.20","1,994.40"
10/13/2023,"1,861.00","1,946.20","1,857.50","1,941.50"
10/06/2023,"1,864.40","1,864.70","1,823.50","1,845.20"
09/29/2023,"1,944.70","1,946.80","1,862.30","1,866.10"
09/22/2023,"1,945.70","1,968.90","1,933.10","1,945.60"
09/15/2023,"1,943.30","1,954.60","1,921.70","1,946.20"
09/08/2023,"1,964.20","1,964.70","1,940.00","1,942.70"
09/01/2023,"1,944.00","1,980.20","1,940.10","1,967.10"
08/25/2023,"1,918.40","1,951.30","1,913.60","1,939.90"
08/18/2023,"1,945.60","1,948.20","1,914.20","1,916.50"
08/11/2023,"1,977.60","1,981.70","1,942.70","1,946.60"
08/04/2023,"1,997.90","2,010.90","1,954.50","1,976.10"
07/28/2023,"1,963.60","1,982.60","1,941.70","1,960.40"
07/21/2023,"1,958.60","1,989.80","1,949.00","1,966.60"
07/14/2023,"1,930.70","1,968.50","1,918.00","1,964.40"
07/07/2023,"1,927.80","1,942.90","1,908.50","1,932.50"
06/30/2023,"1,936.30","1,943.40","1,900.60","1,929.40"
06/23/2023,"1,962.70","1,968.70","1,919.50","1,929.60"
06/16/2023,"1,975.60","1,985.90","1,936.10","1,971.20"
06/09/2023,"1,962.30","1,987.80","1,953.80","1,977.20"
06/02/2023,"1,962.40","2,000.70","1,949.60","1,969.60"
05/26/2023,"1,979.40","1,987.90","1,936.00","1,944.30"
05/19/2023,"2,013.40","2,027.50","1,954.40","1,981.60"
05/12/2023,"2,024.60","2,056.00","2,005.70","2,019.80"
05/05/2023,"2,000.20","2,085.40","1,985.70","2,024.80"
04/28/2023,"1,992.00","2,020.20","1,982.00","1,999.10"
04/21/2023,"2,014.10","2,028.00","1,980.90","1,990.50"
04/14/2023,"2,008.60","2,063.40","1,996.50","2,015.80"
04/06/2023,"1,990.00","2,049.20","1,965.90","2,026.40"
03/31/2023,"1,982.60","2,005.50","1,945.00","1,986.20"
03/24/2023,"1,989.70","2,014.90","1,936.50","1,983.80"
03/17/2023,"1,877.10","1,993.70","1,875.70","1,973.50"
03/10/2023,"1,861.00","1,874.30","1,813.40","1,867.20"
03/03/2023,"1,818.00","1,864.40","1,810.80","1,854.60"
02/24/2023,"1,850.80","1,855.00","1,815.50","1,817.10"
02/17/2023,"1,876.70","1,881.60","1,827.70","1,850.20"
02/10/2023,"1,878.00","1,902.30","1,863.50","1,874.50"
02/03/2023,"1,928.30","1,975.20","1,874.50","1,876.60"
01/27/2023,"1,928.40","1,949.80","1,912.50","1,929.40"
01/20/2023,"1,907.00","1,939.00","1,902.00","1,928.20"
