Date,Open,High,Low,Close
01/19/2024,"37,493.54","37,933.73","37,122.95","37,863.80"
01/12/2024,"37,327.37","37,825.27","37,249.24","37,592.98"
01/05/2024,"37,566.22","37,790.08","37,323.82","37,466.11"
12/29/2023,"37,405.90","37,778.85","37,371.83","37,689.54"
12/22/2023,"37,330.14","37,641.30","37,073.04","37,385.97"
12/15/2023,"36,254.33","37,347.60","36,231.19","37,305.16"
12/08/2023,"36,089.38","36,296.20","36,010.85","36,247.87"
12/01/2023,"35,376.44","36,264.85","35,280.57","36,245.50"
11/24/2023,"34,932.49","35,399.44","34,907.98","35,390.15"
11/17/2023,"34,259.25","35,051.10","34,205.81","34,947.28"
11/10/2023,"34,092.61","34,310.36","33,859.77","34,283.10"
11/03/2023,"32,537.54","34,163.63","32,537.54","34,061.32"
10/27/2023,"32,993.02","33,272.19","32,327.20","32,417.59"
10/20/2023,"33,832.42","34,147.63","33,118.12","33,127.28"
10/13/2023,"33,259.84","33,957.72","33,253.69","33,670.29"
10/06/2023,"33,455.50","33,557.69","32,846.94","33,407.58"
09/29/2023,"33,907.59","34,017.53","33,306.30","33,507.50"
09/22/2023,"34,612.29","34,776.28","33,947.24","33,963.84"
09/15/2023,"34,650.01","34,977.97","34,509.95","34,618.24"
09/08/2023,"34,843.22","34,871.26","34,291.56","34,576.59"
09/01/2023,"34,441.64","35,070.21","34,441.64","34,837.71"
08/25/2023,"34,531.28","34,694.68","34,029.22","34,346.90"
08/18/2023,"35,273.89","35,335.45","34,263.19","34,500.66"
08/11/2023,"35,125.60","35,578.58","35,007.41","35,281.40"
08/04/2023,"35,465.97","35,679.13","35,033.76","35,065.62"
07/28/2023,"35,230.79","35,645.35","35,216.58","35,459.29"
07/21/2023,"34,499.74","35,372.77","34,418.72","35,227.69"
07/14/2023,"33,705.68","34,592.26","33,705.68","34,509.03"
07/07/2023,"34,369.78","34,465.60","33,716.75","33,734.88"
06/30/2023,"33,730.79","34,467.35","33,610.32","34,407.60"
06/23/2023,"34,206.66","34,206.66","33,646.49","33,727.43"
06/16/2023,"33,906.80","34,588.68","33,783.55","34,299.12"
06/09/2023,"33,771.13","33,975.32","33,399.69","33,876.78"
06/02/2023,"33,103.65","33,805.00","32,704.51","33,762.76"
05/26/2023,"33,408.54","33,512.30","32,586.56","33,093.34"
05/19/2023,"33,321.21","33,652.90","33,006.19","33,426.63"
05/12/2023,"33,715.15","33,772.09","33,110.61","33,300.62"
05/05/2023,"34,116.81","34,257.83","32,937.50","33,674.38"
04/28/2023,"33,805.04","34,104.56","33,235.85","34,098.16"
04/21/2023,"33,930.46","34,018.62","33,677.74","33,808.96"
04/14/2023,"33,425.25","34,082.94","33,343.43","33,886.47"
04/06/2023,"33,245.78","33,634.72","33,245.78","33,485.29"
03/31/2023,"32,276.72","33,291.00","32,276.72","33,274.15"
03/24/2023,"31,872.33","32,761.89","31,805.18","32,237.53"
03/17/2023,"31,819.93","32,306.59","31,429.82","31,861.98"
03/10/2023,"33,425.32","33,572.22","31,783.41","31,909.64"
03/03/2023,"32,906.16","33,405.82","32,500.71","33,390.97"
02/24/2023,"33,699.69","33,699.69","32,643.48","32,816.92"
02/17/2023,"33,887.39","34,331.47","33,517.73","33,826.69"
02/10/2023,"33,874.44","34,252.57","33,591.99","33,869.27"
02/03/2023,"33,909.21","34,334.70","33,581.42","33,926.01"
01/27/2023,"33,439.56","34,164.33","33,273.21","33,978.08"
01/20/2023,"33,171.35","33,381.95","32,948.93","33,375.49"
