Date,Open,High,Low,Close
01/19/2024,"14,908.26","15,310.97","14,706.23","15,310.97"
01/12/2024,"14,564.47","15,063.61","14,560.20","14,972.76"
01/05/2024,"14,873.70","14,887.80","14,477.57","14,524.07"
12/29/2023,"15,028.69","15,150.07","14,955.37","15,011.35"
12/22/2023,"14,814.02","15,069.29","14,776.29","14,992.97"
12/15/2023,"14,340.13","14,855.62","14,324.57","14,813.92"
12/08/2023,"14,168.66","14,416.92","14,058.52","14,403.97"
12/01/2023,"14,239.31","14,423.22","14,127.06","14,305.03"
11/24/2023,"14,134.75","14,359.61","14,134.20","14,250.85"
11/17/2023,"13,745.96","14,194.36","13,687.78","14,125.48"
11/10/2023,"13,514.08","13,802.53","13,435.99","13,798.11"
11/03/2023,"12,750.47","13,520.28","12,691.56","13,478.28"
10/27/2023,"12,930.85","13,170.39","12,543.86","12,643.01"
10/20/2023,"13,453.81","13,602.25","12,977.44","12,983.81"
10/13/2023,"13,326.22","13,714.14","13,277.48","13,407.23"
10/06/2023,"13,217.99","13,472.27","13,008.60","13,431.34"
09/29/2023,"13,172.54","13,382.98","12,963.16","13,219.32"
09/22/2023,"13,669.96","13,751.28","13,200.64","13,211.81"
09/15/2023,"13,884.03","13,957.57","13,684.25","13,708.33"
09/08/2023,"13,994.54","14,060.85","13,642.47","13,761.53"
09/01/2023,"13,695.36","14,149.62","13,626.64","14,031.81"
08/25/2023,"13,347.26","13,834.69","13,325.59","13,590.65"
08/18/2023,"13,599.00","13,789.16","13,161.77","13,290.78"
08/11/2023,"13,972.45","13,997.15","13,609.98","13,644.85"
08/04/2023,"14,337.90","14,370.91","13,881.35","13,909.24"
07/28/2023,"14,081.63","14,360.20","13,997.13","14,316.66"
07/21/2023,"14,149.92","14,446.55","14,020.45","14,032.81"
07/14/2023,"13,645.37","14,232.11","13,584.87","14,113.70"
07/07/2023,"13,798.70","13,844.50","13,567.26","13,660.72"
06/30/2023,"13,468.75","13,816.68","13,334.42","13,787.92"
06/23/2023,"13,642.30","13,711.18","13,441.56","13,492.52"
06/16/2023,"13,326.37","13,864.06","13,302.58","13,689.57"
06/09/2023,"13,238.48","13,385.95","13,089.48","13,259.14"
06/02/2023,"13,109.10","13,256.21","12,889.37","13,240.77"
05/26/2023,"12,664.44","13,001.91","12,415.85","12,975.69"
05/19/2023,"12,301.17","12,731.73","12,263.35","12,657.90"
05/12/2023,"12,231.68","12,364.65","12,174.06","12,284.74"
05/05/2023,"12,210.05","12,264.83","11,925.37","12,235.41"
04/28/2023,"12,053.47","12,227.72","11,798.77","12,226.58"
04/21/2023,"12,108.23","12,245.43","11,986.82","12,072.46"
04/14/2023,"11,975.14","12,205.72","11,916.54","12,123.47"
04/06/2023,"12,146.09","12,224.68","11,898.36","12,087.96"
03/31/2023,"11,868.54","12,227.93","11,635.03","12,221.91"
03/24/2023,"11,614.39","12,013.99","11,550.69","11,823.96"
03/17/2023,"11,041.46","11,773.11","10,982.80","11,630.51"
03/10/2023,"11,736.87","11,827.92","11,093.86","11,138.89"
03/03/2023,"11,517.19","11,699.63","11,273.61","11,689.01"
02/24/2023,"11,640.37","11,684.14","11,334.47","11,394.94"
02/17/2023,"11,759.09","12,071.29","11,673.21","11,787.27"
02/10/2023,"11,904.41","12,150.22","11,630.54","11,718.12"
02/03/2023,"11,512.34","12,269.56","11,388.54","12,006.95"
01/27/2023,"11,171.94","11,691.89","11,069.18","11,621.71"
01/20/2023,"10,890.40","11,143.17","10,804.57","11,140.43"
