Date,Open,High,Low,Close
01/19/2024,"1,934.64","1,944.39","1,898.25","1,944.39"
01/12/2024,"1,948.90","1,989.01","1,934.32","1,950.96"
01/05/2024,"2,012.75","2,032.49","1,941.77","1,951.14"
12/29/2023,"2,043.14","2,071.78","2,027.07","2,027.07"
12/22/2023,"1,991.61","2,042.47","1,980.75","2,033.96"
12/15/2023,"1,879.66","2,009.08","1,870.35","1,985.13"
12/08/2023,"1,857.17","1,888.72","1,848.78","1,880.82"
12/01/2023,"1,801.03","1,863.66","1,789.20","1,862.64"
11/24/2023,"1,798.56","1,810.26","1,783.26","1,807.50"
11/17/2023,"1,698.74","1,830.00","1,690.92","1,797.77"
11/10/2023,"1,760.18","1,760.86","1,684.20","1,705.33"
11/03/2023,"1,646.36","1,770.58","1,635.41","1,760.71"
10/27/2023,"1,671.76","1,690.41","1,633.67","1,636.94"
10/20/2023,"1,734.13","1,779.85","1,680.09","1,680.79"
10/13/2023,"1,738.39","1,786.64","1,715.32","1,719.71"
10/06/2023,"1,780.86","1,782.02","1,709.59","1,745.56"
09/29/2023,"1,768.67","1,809.69","1,761.61","1,785.10"
09/22/2023,"1,847.71","1,847.71","1,776.50","1,776.50"
09/15/2023,"1,863.11","1,868.17","1,837.56","1,847.03"
09/08/2023,"1,916.28","1,916.28","1,848.60","1,851.55"
09/01/2023,"1,859.33","1,926.81","1,859.33","1,920.83"
08/25/2023,"1,860.13","1,873.48","1,831.95","1,853.63"
08/18/2023,"1,919.95","1,920.90","1,830.84","1,859.42"
08/11/2023,"1,959.12","1,961.49","1,914.10","1,925.11"
08/04/2023,"1,984.80","2,003.62","1,948.70","1,957.46"
07/28/2023,"1,961.04","1,994.82","1,949.09","1,981.54"
07/21/2023,"1,929.43","1,990.25","1,926.64","1,960.26"
07/14/2023,"1,862.21","1,952.54","1,860.42","1,931.09"
07/07/2023,"1,887.03","1,898.60","1,823.91","1,864.66"
06/30/2023,"1,821.34","1,898.40","1,819.80","1,888.73"
06/23/2023,"1,871.49","1,873.96","1,818.81","1,821.64"
06/16/2023,"1,866.77","1,906.83","1,863.10","1,875.47"
06/09/2023,"1,825.77","1,893.56","1,797.27","1,865.71"
06/02/2023,"1,776.61","1,831.71","1,736.82","1,830.91"
05/26/2023,"1,777.64","1,816.41","1,741.24","1,773.02"
05/19/2023,"1,744.67","1,800.52","1,736.16","1,773.72"
05/12/2023,"1,766.42","1,772.93","1,731.34","1,740.85"
05/05/2023,"1,765.45","1,785.20","1,704.82","1,759.88"
04/28/2023,"1,790.25","1,797.61","1,725.82","1,768.99"
04/21/2023,"1,784.38","1,809.59","1,777.40","1,791.51"
04/14/2023,"1,749.31","1,805.02","1,745.46","1,781.15"
04/06/2023,"1,804.02","1,812.37","1,742.78","1,754.46"
03/31/2023,"1,747.93","1,802.71","1,742.06","1,802.48"
03/24/2023,"1,733.51","1,788.37","1,695.23","1,734.92"
03/17/2023,"1,755.05","1,802.12","1,716.67","1,725.89"
03/10/2023,"1,928.08","1,928.70","1,756.82","1,772.70"
03/03/2023,"1,902.00","1,931.72","1,877.58","1,928.26"
02/24/2023,"1,937.05","1,937.05","1,875.81","1,890.49"
02/17/2023,"1,919.89","1,962.46","1,913.60","1,946.36"
02/10/2023,"1,976.09","1,976.09","1,903.72","1,918.81"
02/03/2023,"1,903.10","2,007.31","1,885.43","1,985.53"
01/27/2023,"1,868.96","1,918.59","1,858.99","1,911.46"
01/20/2023,"1,846.35","1,867.34","1,825.58","1,867.34"
