DATE,Open,High,Low,Close*,Adj Close**,Volume
2024-04-12,"5,171.51","5,175.03","5,107.94",5123.41,5123.41,"3,963,220,000"
2024-04-11,"5,172.95","5,211.78","5,138.77",5199.06,5199.06,"3,509,380,000"
2024-04-10,"5,167.88","5,178.43","5,138.70",5160.64,5160.64,"3,845,930,000"
2024-04-09,"5,217.03","5,224.81","5,160.78",5209.91,5209.91,"3,400,680,000"
2024-04-08,"5,211.37","5,219.57","5,197.35",5202.39,5202.39,"3,278,180,000"
2024-04-05,"5,158.95","5,222.18","5,157.21",5204.34,5204.34,"3,386,780,000"
2024-04-04,"5,244.05","5,256.59","5,146.06",5147.21,5147.21,"4,075,680,000"
2024-04-03,"5,194.37","5,228.75","5,194.37",5211.49,5211.49,"3,703,250,000"
2024-04-02,"5,204.29","5,208.34","5,184.05",5205.81,5205.81,"3,886,590,000"
2024-04-01,"5,257.97","5,263.95","5,229.20",5243.77,5243.77,"3,325,930,000"
2024-03-28,"5,248.03","5,264.85","5,245.82",5254.35,5254.35,"3,998,270,000"
2024-03-27,"5,226.31","5,249.26","5,213.92",5248.49,5248.49,"3,850,500,000"
2024-03-26,"5,228.85","5,235.16","5,203.42",5203.58,5203.58,"3,871,790,000"
2024-03-25,"5,219.52","5,229.09","5,216.09",5218.19,5218.19,"3,331,360,000"
2024-03-22,"5,242.48","5,246.09","5,229.87",5234.18,5234.18,"3,374,700,000"
2024-03-21,"5,253.43","5,261.10","5,240.66",5241.53,5241.53,"4,207,730,000"
2024-03-20,"5,181.69","5,226.19","5,171.55",5224.62,5224.62,"4,064,850,000"
2024-03-19,"5,139.09","5,180.31","5,131.59",5178.51,5178.51,"4,031,760,000"
2024-03-18,"5,154.77","5,175.60","5,145.47",5149.42,5149.42,"4,036,220,000"
2024-03-15,"5,123.31","5,136.86","5,104.35",5117.09,5117.09,"7,753,670,000"
2024-03-14,"5,175.14","5,176.85","5,123.30",5150.48,5150.48,"4,687,970,000"
