Date,Price,Open,High,Low,Vol.,Change %
04/12/2024,"2,374.10","2,389.40","2,448.80","2,350.60",,0.0006
04/11/2024,"2,372.70","2,351.70","2,395.60","2,343.10",260.42K,0.0103
04/10/2024,"2,348.40","2,372.40","2,378.10","2,337.10",353.85K,-0.59%
04/09/2024,"2,362.40","2,358.10","2,384.50","2,355.70",279.61K,0.0048
04/08/2024,"2,351.00","2,343.60","2,372.50","2,321.70",285.57K,0.0024
04/05/2024,"2,345.40","2,309.50","2,350.00","2,286.20",293.21K,0.016
04/04/2024,"2,308.50","2,321.00","2,325.30","2,298.70",236.23K,-0.28%
04/03/2024,"2,315.00","2,301.70","2,321.80","2,285.70",254.57K,0.0145
04/02/2024,"2,281.80","2,272.70","2,301.90","2,267.10",277.23K,0.0109
04/01/2024,"2,257.10","2,259.20","2,286.40","2,249.10",220.77K,0.001
03/29/2024,"2,254.80","2,254.80","2,254.80","2,254.80",,0.0073
03/28/2024,"2,238.40","2,215.70","2,256.90","2,207.50",250.25K,0.0116
03/27/2024,"2,212.70","2,200.50","2,218.30","2,193.70",191.46K,0.0114
03/26/2024,"2,187.80","2,183.00","2,210.70","2,179.30",1.59K,0.0005
03/25/2024,"2,186.80","2,177.50","2,192.70","2,175.00",0.96K,0.0076
03/22/2024,"2,170.20","2,193.30","2,198.00","2,169.30",0.64K,-1.13%
03/21/2024,"2,195.00","2,200.10","2,231.30","2,178.90",0.92K,0.0111
03/20/2024,"2,171.00","2,171.30","2,201.40","2,164.20",0.66K,0.0006
03/19/2024,"2,169.80","2,174.20","2,175.00","2,162.10",0.36K,-0.22%
03/18/2024,"2,174.50","2,169.10","2,176.00","2,160.00",0.26K,0.0013
03/15/2024,"2,171.60","2,175.50","2,186.70","2,169.40",0.21K,0.0019
03/14/2024,"2,167.50","2,179.50","2,181.30","2,157.00",207.23K,-0.61%
03/13/2024,"2,180.80","2,163.60","2,185.60","2,161.30",232.27K,0.0068
03/12/2024,"2,166.10","2,189.10","2,190.80","2,156.20",316.25K,-1.03%
03/11/2024,"2,188.60","2,187.60","2,195.50","2,180.90",242.42K,0.0014
03/08/2024,"2,185.50","2,166.60","2,203.00","2,161.20",389.68K,0.0094
03/07/2024,"2,165.20","2,156.70","2,172.20","2,151.70",267.80K,0.0032
03/06/2024,"2,158.20","2,136.40","2,160.70","2,131.90",319.76K,0.0076
03/05/2024,"2,141.90","2,123.30","2,150.50","2,118.50",283.15K,0.0073
03/04/2024,"2,126.30","2,091.60","2,128.40","2,088.10",328.25K,0.0146
03/01/2024,"2,095.70","2,052.80","2,097.10","2,047.00",330.59K,0.02
02/29/2024,"2,054.70","2,043.80","2,059.40","2,036.00",227.07K,0.0059
02/28/2024,"2,042.70","2,039.70","2,047.40","2,033.40",137.08K,0.0041
02/27/2024,"2,034.40","2,031.00","2,038.00","2,028.70",0.96K,0.0026
02/26/2024,"2,029.10","2,033.70","2,036.30","2,025.00",1.14K,-0.51%
02/23/2024,"2,039.40","2,024.10","2,041.50","2,015.60",0.71K,0.0043
02/22/2024,"2,030.70","2,036.50","2,045.50","2,029.30",147.95K,-0.18%
02/21/2024,"2,034.30","2,036.20","2,043.50","2,030.90",120.60K,-0.27%
02/20/2024,"2,039.80","2,027.70","2,042.70","2,023.90",202.43K,0.0061
02/19/2024,"2,027.50","2,025.70","2,034.30","2,024.65",,0.0017
02/16/2024,"2,024.10","2,016.10","2,027.20","2,006.60",162.36K,0.0046
02/15/2024,"2,014.90","2,004.80","2,020.20","2,001.80",204.25K,0.0038
02/13/2024,"2,007.20","2,033.70","2,047.30","2,002.80",217.57K,-1.27%
02/12/2024,"2,033.00","2,038.20","2,041.80","2,025.40",116.03K,-0.28%
02/09/2024,"2,038.70","2,049.70","2,051.90","2,034.30",116.03K,-0.45%
02/08/2024,"2,047.90","2,051.00","2,053.80","2,034.60",137.08K,-0.19%
02/07/2024,"2,051.70","2,052.60","2,061.30","2,046.40",125.63K,0.0001
02/06/2024,"2,051.40","2,041.40","2,055.30","2,038.80",126.38K,0.0042
02/05/2024,"2,042.90","2,057.90","2,059.10","2,030.80",170.43K,-0.53%
02/02/2024,"2,053.70","2,072.00","2,074.70","2,044.20",219.80K,-0.84%
02/01/2024,"2,071.10","2,057.90","2,083.20","2,046.40",260.92K,0.0018
01/31/2024,"2,067.40","2,055.30","2,074.60","2,048.80",238.37K,0.008
01/30/2024,"2,050.90","2,051.50","2,068.00","2,047.10",214.59K,0.0079
01/29/2024,"2,034.90","2,035.80","2,046.50","2,028.20",1.78K,0.0041
01/26/2024,"2,026.60","2,028.90","2,035.70","2,025.40",0.41K,-0.02%
01/25/2024,"2,027.10","2,025.40","2,034.00","2,017.00",0.46K,0.0008
01/24/2024,"2,025.40","2,039.40","2,046.20","2,021.90",0.80K,-0.48%
01/23/2024,"2,035.20","2,032.80","2,045.40","2,031.50",0.37K,0.0018
01/22/2024,"2,031.50","2,040.40","2,043.00","2,027.40",0.33K,-0.34%
01/19/2024,"2,038.50","2,033.70","2,050.10","2,031.80",0.30K,0.0036
01/18/2024,"2,031.10","2,021.30","2,034.20","2,017.50",0.35K,0.0075
01/17/2024,"2,015.90","2,040.80","2,041.00","2,014.60",0.18K,-1.17%
01/16/2024,"2,039.70","2,060.00","2,069.70","2,037.50",0.48K,-0.88%
01/15/2024,"2,057.85","2,051.30","2,062.50","2,049.50",,-0.16%
01/12/2024,"2,061.10","2,045.00","2,075.80","2,044.20",0.56K,0.0159
01/11/2024,"2,028.90","2,039.40","2,060.10","2,027.40",0.36K,-0.42%
01/10/2024,"2,037.50","2,046.20","2,052.00","2,036.40",0.13K,0.0022
01/09/2024,"2,033.00","2,034.50","2,048.60","2,031.90",218.75K,-0.02%
01/08/2024,"2,033.50","2,052.60","2,053.30","2,022.70",220.99K,-0.80%
01/05/2024,"2,049.80","2,051.40","2,071.10","2,030.80",214.68K,-0.01%
01/04/2024,"2,050.00","2,049.30","2,058.10","2,043.30",130.26K,0.0035
01/03/2024,"2,042.80","2,067.90","2,074.30","2,038.30",221.68K,-1.48%
01/02/2024,"2,073.40","2,072.70","2,088.10","2,064.30",157.56K,0.0002
01/01/2024,"2,072.90","2,071.75","2,075.70","2,071.75",,0.0005
12/29/2023,"2,071.80","2,076.10","2,084.10","2,067.60",105.72K,-0.56%
12/28/2023,"2,083.50","2,089.50","2,098.20","2,074.60",129.54K,0.00%
12/27/2023,"2,083.40","2,068.00","2,085.30","2,063.30",0.59K,0.0112
12/26/2023,"2,060.40","2,056.30","2,069.60","2,056.30",0.29K,-0.30%
12/25/2023,"2,066.65","2,065.30","2,067.60","2,065.30",,0.0034
12/22/2023,"2,059.60","2,051.50","2,072.30","2,049.40",0.44K,0.0087
12/21/2023,"2,041.80","2,034.70","2,048.00","2,034.00",0.54K,0.0018
