,Close_^IXIC,Close_^VIX,BOGMBASE_BOGMBASE,CPIAUCSL_CPIAUCSL,Price_Crude Oil,DGS2_DGS2,DGS5_DGS5,DGS10_DGS10,DGS30_DGS30,Close_DJI,FEDFUNDS_FEDFUNDS,Price_Gold,Close*_GSPC - S&P 500,UNRATE_UNRATE,USSTHPI_USSTHPI,WM2NS_WM2NS,Close_ETH-USD,Close_BTC-USD
Close_^IXIC,1.0,-0.58,0.74,-0.16,-0.29,-0.33,-0.31,-0.27,-0.24,0.79,-0.14,0.4,0.87,0.28,-0.18,-0.24,0.77,0.82
Close_^VIX,-0.58,1.0,-0.21,-0.27,0.42,-0.21,-0.18,-0.24,-0.3,-0.71,-0.45,-0.51,-0.64,-0.05,-0.22,0.35,-0.23,-0.32
BOGMBASE_BOGMBASE,0.74,-0.21,1.0,-0.44,-0.11,-0.63,-0.59,-0.58,-0.58,0.53,-0.53,-0.02,0.57,0.28,-0.41,0.07,0.86,0.72
CPIAUCSL_CPIAUCSL,-0.16,-0.27,-0.44,1.0,0.36,0.96,0.97,0.95,0.92,0.28,0.91,0.59,0.29,-0.84,0.98,0.37,-0.25,-0.35
Price_Crude Oil,-0.29,0.42,-0.11,0.36,1.0,0.29,0.34,0.28,0.2,-0.11,0.0,0.03,-0.03,-0.61,0.44,0.75,-0.04,-0.27
DGS2_DGS2,-0.33,-0.21,-0.63,0.96,0.29,1.0,0.99,0.98,0.96,0.1,0.94,0.48,0.1,-0.78,0.94,0.27,-0.45,-0.49
DGS5_DGS5,-0.31,-0.18,-0.59,0.97,0.34,0.99,1.0,0.99,0.97,0.11,0.91,0.47,0.11,-0.79,0.95,0.31,-0.41,-0.46
DGS10_DGS10,-0.27,-0.24,-0.58,0.95,0.28,0.98,0.99,1.0,0.99,0.14,0.93,0.5,0.13,-0.71,0.92,0.21,-0.41,-0.41
DGS30_DGS30,-0.24,-0.3,-0.58,0.92,0.2,0.96,0.97,0.99,1.0,0.16,0.94,0.52,0.14,-0.63,0.88,0.1,-0.43,-0.37
Close_DJI,0.79,-0.71,0.53,0.28,-0.11,0.1,0.11,0.14,0.16,1.0,0.26,0.62,0.95,-0.12,0.24,0.05,0.63,0.59
FEDFUNDS_FEDFUNDS,-0.14,-0.45,-0.53,0.91,0.0,0.94,0.91,0.93,0.94,0.26,1.0,0.6,0.22,-0.61,0.86,0.01,-0.38,-0.34
Price_Gold,0.4,-0.51,-0.02,0.59,0.03,0.48,0.47,0.5,0.52,0.62,0.6,1.0,0.64,-0.31,0.53,-0.07,0.17,0.26
Close*_GSPC - S&P 500,0.87,-0.64,0.57,0.29,-0.03,0.1,0.11,0.13,0.14,0.95,0.22,0.64,1.0,-0.17,0.27,0.08,0.69,0.63
UNRATE_UNRATE,0.28,-0.05,0.28,-0.84,-0.61,-0.78,-0.79,-0.71,-0.63,-0.12,-0.61,-0.31,-0.17,1.0,-0.89,-0.76,0.1,0.43
USSTHPI_USSTHPI,-0.18,-0.22,-0.41,0.98,0.44,0.94,0.95,0.92,0.88,0.24,0.86,0.53,0.27,-0.89,1.0,0.46,-0.24,-0.39
WM2NS_WM2NS,-0.24,0.35,0.07,0.37,0.75,0.27,0.31,0.21,0.1,0.05,0.01,-0.07,0.08,-0.76,0.46,1.0,0.16,-0.27
Close_ETH-USD,0.77,-0.23,0.86,-0.25,-0.04,-0.45,-0.41,-0.41,-0.43,0.63,-0.38,0.17,0.69,0.1,-0.24,0.16,1.0,0.8
Close_BTC-USD,0.82,-0.32,0.72,-0.35,-0.27,-0.49,-0.46,-0.41,-0.37,0.59,-0.34,0.26,0.63,0.43,-0.39,-0.27,0.8,1.0
